state,sdma,lra,ex_parte,documentation_required
Alabama,0,0,1,0
Alaska,1,1,0,0
Arizona,0,1,1,0
Arkansas,0,1,1,0
California,0,1,1,0
Colorado,0,1,1,0
Connecticut,0,1,1,0
Delaware,1,1,1,1
District of Columbia,1,1,1,0
Florida,0,1,1,0
Georgia,1,1,0,0
Hawaii,0,1,1,0
Idaho,0,0,1,0
Illinois,0,0,1,0
Indiana,1,0,1,0
Iowa,0,1,1,0
Kansas,0,1,1,0
Kentucky,0,0,0,0
Louisiana,0,1,1,0
Maine,0,0,1,0
Maryland,0,1,0,1
Massachusetts,0,1,1,1
Michigan,0,0,1,0
Minnesota,0,1,1,0
Mississippi,0,0,1,1
Missouri,0,1,0,0
Montana,0,0,1,0
Nebraska,0,1,1,0
Nevada,1,0,1,1
New Hampshire,0,1,1,1
New Jersey,0,1,1,1
New Mexico,0,1,1,0
New York,0,1,1,0
North Carolina,0,1,0,0
North Dakota,1,1,1,0
Ohio,0,0,1,0
Oklahoma,0,1,1,0
Oregon,0,1,1,0
Pennsylvania,0,1,1,1
Rhode Island,1,1,0,0
South Carolina,0,0,1,0
South Dakota,0,1,1,1
Tennessee,0,1,1,1
Texas,1,1,0,0
Utah,0,1,1,0
Vermont,0,0,1,0
Virginia,0,1,1,0
Washington,0,1,1,0
West Virginia,0,1,1,1
Wisconsin,1,1,1,0
Wyoming,0,0,1,0